Case #1: Impossible
8 10 98912
31 35 178552
32 33 136017
1 10 276097
25 18 125231
29 22 71447
5 32 30763
28 35 92291
12 6 22922
31 1 181402
33 25 158569
14 21 218900
5 4 102763
16 28 53749
28 27 40750
22 35 138566
27 35 51541
20 3 108594
16 11 121010
35 32 176051
29 18 167420
35 29 175511
4 30 143065
19 4 109043
35 34 71342
15 4 100354
26 34 89648
4 34 96446
31 5 163222
35 6 29812
26 5 40208
17 24 118174
18 19 67350
6 34 101154
4 8 112220
7 9 94805
34 22 108086
34 31 166958
2 17 31296
19 10 125853
3 15 102582
11 2 140085
1 3 290398
12 35 6890
7 21 183612
16 5 108006
15 34 112399
2 12 150793
21 34 167266
32 9 52675
26 7 128879
9 27 73095
16 31 160156
26 27 109449
25 30 96938
29 3 159684
28 31 213680
7 18 209862
35 10 192269
13 25 131131
25 16 96268
12 8 147855
15 10 120103
7 28 82804
23 10 52894
34 17 110233
30 20 112279
18 22 130247
27 8 104464
11 27 108011
21 28 133426
5 17 4575
27 24 124448
6 28 122103
26 3 130873
19 6 187115
14 12 92795
22 2 29149
10 25 110774
4 1 239643
31 20 180152
12 26 154321
7 16 136553
3 16 154003
30 16 92283
34 16 6802
21 26 167185
27 18 188152
7 20 89638
20 34 94079
8 2 45328
32 29 85061
28 23 116000
14 17 106309
16 17 103431
20 24 106004
33 10 119280
3 32 121428
18 31 214818
6 15 146724
8 30 85892
12 10 199159
27 2 107402
19 21 152772
10 7 19698
15 17 16492
35 23 200763
33 2 182702
6 10 222081
19 24 129029
1 28 203748
4 29 122590
24 15 120340
5 14 101734
25 29 76463
24 12 79797
24 31 190952
30 3 180159
8 29 87626
9 6 139408
13 17 123968
22 32 37485
28 26 100815
5 3 90665
32 20 57842
7 19 142512
5 34 114808
13 12 248356
9 21 105065
9 17 17337
7 27 123554
13 7 217214
31 2 188944
12 3 110566
24 32 153512
18 21 220122
Case #29: 224
22 11 62303
26 31 78035
13 20 72694
11 27 179209
17 8 229300
11 9 367282
18 10 280146
14 13 185041
14 9 421877
11 23 197785
17 12 268397
6 15 127622
27 24 196160
30 20 107966
7 16 248426
26 13 100434
17 6 162788
24 4 152314
15 13 102996
7 24 64633
23 19 156800
1 4 115898
7 11 210316
1 19 9928
22 3 361499
8 12 368843
15 17 35166
3 13 344536
23 17 242204
19 29 164701
30 10 157839
18 29 281951
17 22 180631
5 9 396274
19 20 169358
16 29 254630
24 6 135433
18 1 127178
4 20 102837
13 2 232715
16 4 233140
20 18 257181
19 31 232945
13 24 95185
30 19 150147
26 1 187170
24 1 181921
6 21 9596
13 23 253464
11 16 103054
5 18 246175
17 29 182561
19 7 127216
17 4 179669
26 21 120588
10 16 226458
28 21 115636
5 4 36861
1 3 284903
13 30 180660
10 2 115251
7 10 189466
28 2 41442
4 29 72637
7 30 150108
22 29 213879
30 21 31606
2 25 197813
27 9 447301
10 29 136242
15 3 313508
17 27 198347
8 30 107714
8 29 122268
3 4 202767
26 15 2562
29 24 155206
4 27 264684
20 10 231608
3 19 294831
10 11 123404
22 28 111898
26 7 69882
17 13 122540
27 26 201409
20 24 97564
12 10 273473
15 7 72444
25 24 222917
12 30 283694
23 24 214849
24 8 201945
10 28 73809
5 19 128925
12 14 425723
22 12 285071
1 29 154773
25 11 205966
25 7 272028
27 10 55805
22 21 166017
10 24 140355
29 12 358087
10 17 142542
8 2 171669
25 3 294227
22 6 175613
5 15 107642
24 14 219122
18 26 164866
7 1 117288
16 30 179671
17 18 197470
20 9 309530
1 8 165529
20 25 314170
25 29 218804
11 17 118328
27 25 26757
9 30 401717
23 1 166728
5 30 21222
21 3 195482
8 21 76108
18 11 173048
23 10 321189
6 27 247803
18 9 341287
10 31 223639
6 19 108945
14 4 140273
13 21 149054
17 21 153192
7 31 147917
18 14 333587
21 18 235791
3 2 291043
2 30 106399
9 1 384676
28 4 137499
16 28 152649
16 2 111207
28 15 103899
23 30 274402
5 2 85177
9 29 451242
31 4 219976
8 18 290888
3 14 309278
14 19 232337
1 16 142364
31 1 242873
3 6 185886
24 15 7811
30 22 138920
15 29 147395
5 27 234866
16 24 183793
3 29 241642
8 23 246154
2 27 171056
4 9 412367
28 9 317687
30 15 128864
25 22 167335
10 8 258510
27 30 213644
25 18 347551
24 22 207986
30 14 164594
22 31 141260
25 23 302817
19 26 197098
26 10 145604
21 23 275341
15 4 144503
27 1 242191
7 18 234748
25 21 272007
9 26 337270
4 30 53469
9 22 429585
31 9 375139
2 1 172069
27 21 245250
24 26 5249
13 6 158650
15 19 199660
8 31 251932
9 17 359376
5 21 10384
29 31 222868
3 30 227088
8 6 66512
24 12 295752
6 2 105157
26 11 150932
4 8 83393
19 17 210096
28 8 191744
20 29 141712
26 6 130184
22 1 101613
13 28 191273
12 6 302331
20 16 265735
27 15 203971
31 30 204337
2 21 95561
20 26 92315
3 11 299196
23 3 440440
27 28 129614
27 3 267470
29 28 163498
17 14 246477
6 9 395486
1 17 209276
24 21 125837
14 20 196631
5 26 110204
2 19 162141
28 14 248624
11 1 163916
Case #30: 12
8 6 553347
7 3 29951
6 7 359706
1 3 177708
3 6 389657
5 1 341053
7 8 193641
2 5 235062
2 4 156602
6 2 461374
6 4 304772
8 4 248575
Case #31: 22
16 14 593992
14 12 581251
5 12 354712
2 5 421669
10 11 848678
1 12 340325
13 16 763427
1 5 555486
17 3 870895
14 8 625072
15 9 681989
9 16 447178
15 8 823560
3 15 510370
5 13 587777
14 6 187948
15 10 804954
9 10 419380
9 2 150141
17 2 764339
9 3 171619
1 17 826710
Case #32: 243
19 26 115915
4 11 149167
33 7 150833
30 25 115085
19 27 199259
21 2 264204
14 7 104907
11 26 174930
28 25 161897
14 15 252499
35 12 231885
33 28 125738
3 25 86164
12 31 130898
22 19 172607
16 25 128578
31 8 166847
27 4 175147
2 25 219377
2 38 239167
32 37 92445
38 6 94363
16 35 337627
23 3 173587
23 30 85318
27 2 3968
32 8 134264
7 6 110226
36 34 168793
4 7 61195
35 39 275918
35 6 246817
1 22 314302
25 13 122841
1 39 195403
19 24 92008
37 2 169996
10 24 164885
19 13 33919
32 36 223111
32 5 71432
17 40 175821
17 9 125423
19 8 60205
13 3 164680
21 35 253116
28 40 189779
27 18 284364
34 21 380
16 15 88339
28 18 228902
25 1 192737
17 8 173478
9 36 168111
17 28 109942
31 35 255690
25 11 120598
32 24 40114
37 6 32735
35 7 259788
12 13 51249
39 37 72094
24 28 212811
2 28 57480
8 13 26286
25 9 69863
21 8 142404
36 38 217873
40 19 97208
27 24 268909
10 1 221481
17 27 171390
9 3 142911
12 24 102429
6 19 14349
24 21 93593
6 4 171421
16 34 84131
16 14 182497
8 22 232812
7 8 162749
29 5 141415
6 29 129693
16 5 123049
23 16 168502
3 29 130786
40 35 247215
2 24 264941
38 14 70663
4 19 167021
9 11 50735
24 20 210136
8 30 124486
17 5 108991
8 12 77535
11 32 15291
6 14 153644
27 10 195784
7 13 158494
1 34 237184
15 29 239045
17 32 180423
22 20 306184
37 24 110394
4 36 246300
29 11 107439
4 29 88858
22 31 167131
38 5 106085
6 5 11722
16 20 190468
33 12 15837
17 7 213141
24 18 130928
27 32 266409
25 7 106543
17 3 185256
4 1 298467
22 23 193644
22 36 321659
21 23 154786
2 14 219745
28 7 180244
4 5 162739
14 39 90841
6 13 48268
16 38 148368
7 26 123289
39 4 111658
37 30 82667
30 32 9778
16 37 140657
12 17 95943
5 40 92926
38 21 64617
17 29 232608
14 3 66330
7 1 266270
39 24 140462
21 28 206724
6 31 106128
13 21 167668
2 1 294375
28 19 143161
6 33 40607
17 6 120713
10 34 130021
40 13 111978
15 3 214187
40 6 104648
17 2 167422
13 31 154396
14 37 162935
28 8 199961
20 29 205232
9 6 4710
17 16 227670
22 9 153548
29 33 141609
5 26 118147
33 32 100317
9 35 242107
25 4 145024
26 38 173077
28 31 184342
36 29 257102
11 35 202398
33 36 182219
11 6 55445
2 8 187080
8 16 58562
27 40 245877
5 13 38201
35 10 306632
33 25 115180
36 26 264967
8 6 74554
32 40 143056
14 27 223713
39 15 161658
36 30 213333
5 11 67167
31 5 117850
18 6 131822
29 12 154463
17 11 176158
18 35 215781
22 5 169980
11 28 206046
6 24 77659
1 9 160754
9 15 127009
1 27 298343
11 2 258176
17 22 278971
17 18 181254
31 2 236472
20 25 164572
40 14 114947
24 29 52034
9 29 124983
30 29 101926
34 15 172470
12 2 177961
7 3 111319
7 12 134996
3 26 182995
40 38 136658
33 39 79966
10 8 12672
25 39 137376
31 37 138863
12 16 136097
16 13 84848
16 30 183048
12 4 167193
20 5 136204
26 14 116665
24 4 93762
3 18 79432
25 23 109959
18 26 177316
3 20 237275
29 18 126024
10 30 137158
39 17 160072
37 15 89564
37 20 115191
14 13 180123
19 38 108712
11 1 211489
2 33 177868
16 29 173200
23 36 198787
40 15 161477
26 37 97134
31 39 168931
31 40 101133
20 15 204755
3 22 274352
22 18 269590
25 22 223411
29 25 78880
Case #33: 151
11 12 206732
18 11 295140
14 4 352996
13 7 255682
12 23 179481
16 20 126748
25 18 289127
9 14 231727
10 7 234826
18 5 187102
25 1 123471
22 7 187657
25 9 142682
18 20 263812
18 24 349782
6 13 117794
13 3 155019
16 23 226114
25 20 326930
15 13 94638
22 11 267662
7 5 272678
20 15 170792
1 26 149410
9 1 223327
5 4 236069
25 26 68765
17 5 229328
14 25 374409
25 8 310975
3 21 242297
15 7 161044
12 26 43071
4 16 228733
13 23 197379
22 17 284680
22 16 49772
5 6 222409
10 14 312591
8 4 332388
19 23 308080
11 3 141420
7 26 243666
12 17 256408
18 14 304029
15 9 264564
22 15 302854
9 23 242250
21 12 311818
18 8 141382
11 2 235695
8 19 311657
26 15 190647
4 1 102058
22 18 88753
2 7 315700
6 24 158837
4 25 21413
11 7 80005
17 13 164116
16 8 279907
4 19 187121
14 7 167161
20 7 248220
14 1 318334
12 5 231788
8 11 393404
25 24 300389
21 8 396603
5 22 98349
7 18 276410
10 21 255698
8 23 416411
26 3 130266
26 23 168311
2 15 154656
25 12 84822
10 19 117608
1 6 102681
16 6 273064
5 16 148121
2 26 345303
2 10 228438
5 10 312714
15 21 181916
23 1 223017
16 24 366173
26 16 276085
12 22 269384
26 6 213803
9 2 370492
16 13 390858
23 21 344140
15 19 43826
25 16 250146
24 3 196062
6 2 177812
11 25 232426
25 7 312431
15 11 81039
4 24 278976
15 17 69478
9 12 116988
18 6 190945
22 8 230135
4 6 166451
5 21 427481
1 22 281019
8 12 395797
10 11 154821
6 12 210086
13 21 146761
9 20 191510
23 18 275029
19 11 124865
21 17 251394
26 10 143667
7 19 204870
11 20 168215
1 17 149003
1 10 32545
4 9 121269
24 11 216720
17 24 205159
23 6 287410
25 10 117728
24 1 215206
16 18 138525
2 16 403813
25 19 208534
19 18 170275
18 1 293626
8 7 417792
1 15 79525
13 4 237933
24 20 239425
20 23 208516
17 14 220635
9 6 287720
11 5 192673
10 24 209463
9 21 428806
6 15 23156
14 12 348715
2 8 483598
9 3 204183
15 10 73782
1 5 280169
9 7 262919
17 11 150517
16 9 262921
Case #34: 82
13 8 123543
15 10 567946
1 14 222663
3 15 233783
7 6 126727
2 9 255370
6 5 115826
14 9 243510
7 3 317281
4 1 572479
10 5 444722
1 10 343320
5 9 109403
15 4 482829
7 1 112303
8 2 245116
11 9 426941
6 15 239050
2 6 261793
13 1 228388
5 8 127018
2 12 254425
15 13 434979
3 6 311890
15 8 329471
9 1 20847
8 11 301249
9 12 242941
1 12 222094
12 14 444757
3 12 236315
13 6 242812
14 3 442557
5 13 250561
15 11 446383
6 14 237087
13 7 116085
11 14 419067
9 7 133150
2 14 362934
3 10 640786
1 3 326314
15 12 2532
6 1 14424
15 1 224626
9 6 6423
13 4 450242
8 10 448165
9 13 249235
4 12 485361
6 11 420518
5 3 427716
13 11 177706
2 11 427529
15 2 251893
5 15 354876
5 12 352344
7 5 134476
4 9 567359
14 15 447289
3 11 363538
3 2 485676
4 14 585452
1 5 130250
12 11 448915
15 7 336929
8 1 104845
4 6 560936
9 3 318313
2 10 456262
11 10 462429
3 13 201196
11 4 424806
8 12 326939
12 10 565414
14 13 241361
5 4 476546
3 4 249046
12 13 437511
8 14 117818
8 3 324739
9 10 335319
Case #35: 829
21 10 146282
19 35 147579
26 5 54410
29 38 167016
8 1 35914
14 22 62032
36 8 17757
37 30 182072
7 38 173776
22 25 114014
19 13 123815
40 2 88588
14 6 9453
39 28 133926
39 32 93160
11 13 107252
36 39 105866
34 12 108655
17 26 47453
27 39 116070
8 16 72098
31 10 133376
4 22 78108
8 18 111272
6 28 51274
5 12 88880
39 24 152077
12 23 135390
27 32 66664
24 42 133965
13 41 29464
30 38 155162
18 41 132651
10 40 141984
27 8 69605
4 35 107539
36 12 89756
5 32 11830
31 40 107512
14 37 136698
4 3 52267
8 15 35109
18 40 123331
27 35 63015
9 31 79679
27 28 107430
36 34 52525
9 14 30227
36 30 59135
17 3 4498
5 18 118051
15 40 32079
14 35 116135
2 8 34524
10 42 146431
16 26 115852
1 7 60113
42 6 74070
9 29 29645
34 8 42760
42 28 104328
30 23 96102
16 41 104084
6 1 41371
2 29 68850
19 40 145112
3 21 116331
10 30 129298
42 7 104332
10 28 123635
39 19 16732
4 29 51141
36 42 76268
9 42 67927
34 15 42960
19 24 153573
11 32 61707
37 39 73038
15 32 30058
3 18 129938
4 36 29837
32 36 12706
9 11 67654
27 4 83795
5 19 98062
32 4 17131
18 13 109117
20 6 106827
32 7 65442
6 30 35921
35 21 164461
13 9 76827
26 28 83346
2 31 79980
20 41 104233
10 27 104010
37 26 161974
29 37 147487
21 37 116852
36 37 134797
17 19 96805
14 41 70134
41 21 92733
33 35 129580
4 39 83374
25 2 82476
18 7 126576
26 38 168568
30 16 121468
1 28 71629
8 17 69357
10 2 109104
20 36 109025
28 36 28060
4 30 63560
42 5 75392
29 7 48976
28 11 102473
14 20 97374
37 33 151733
35 11 121325
20 12 73908
1 22 91840
42 29 97572
9 37 134916
19 28 150658
19 10 168337
26 27 83450
36 19 122598
6 15 40566
25 35 110301
42 41 108747
12 41 60969
31 21 92738
10 9 106801
37 41 174065
30 2 56996
5 6 1322
40 8 62056
34 32 39819
26 31 89210
16 28 117915
7 3 5634
20 35 73741
14 40 58060
5 3 50223
39 29 74449
16 24 147552
28 37 162857
6 3 51545
41 23 118188
38 6 119241
40 21 109887
29 19 91181
39 14 92105
16 20 159161
16 35 175812
32 6 10508
26 41 26499
33 11 96694
17 14 65361
39 33 112159
2 26 70402
9 24 101685
17 35 50774
36 7 52736
2 9 39205
8 30 49370
35 12 123201
31 3 102894
38 13 165603
32 16 77149
31 14 49452
24 21 146805
8 24 75454
41 28 100614
26 33 31353
7 16 126174
22 38 190726
35 10 40995
42 25 101967
39 2 97430
28 13 86311
17 1 58977
25 29 107367
15 17 69692
21 28 146279
27 13 86415
6 16 85547
7 5 55857
33 4 87763
41 10 101482
18 15 91252
24 28 85757
31 38 178146
15 9 34423
34 31 88216
39 25 139600
2 16 106622
25 28 95420
29 20 118809
40 30 103434
34 1 32245
36 18 93515
10 5 94699
5 16 86869
30 22 107406
23 28 73694
18 11 167928
26 40 88468
10 11 144576
6 24 80911
39 11 112458
40 34 75039
22 3 97922
1 19 102318
42 34 76464
11 31 110104
8 21 108454
13 34 77150
14 2 30528
6 39 82652
10 14 83924
4 31 67638
41 6 76997
41 25 38573
41 2 95428
15 37 105585
35 41 71728
29 8 63868
25 5 66484
1 24 101266
35 1 109751
3 25 64025
1 11 91362
34 29 21108
27 1 94974
40 13 91433
9 28 72048
17 20 124433
27 25 95524
17 39 80073
21 19 60546
32 10 82869
37 40 137664
29 16 135966
41 30 112918
15 14 31113
8 11 64648
11 4 78838
37 2 137004
35 2 125248
12 9 108332
32 42 63562
40 20 124194
29 22 121904
26 19 126780
32 38 129749
19 20 167774
19 15 113033
20 24 166722
32 24 70403
40 9 66502
37 25 174048
31 27 115061
17 6 56043
38 36 142455
42 23 121902
29 12 129763
33 28 111398
10 8 87920
25 40 100542
13 14 46600
9 5 19452
7 31 99532
23 19 156921
35 39 130847
22 36 73683
14 33 69577
6 7 57179
34 16 114858
18 25 94078
19 32 109892
22 24 131380
16 25 127926
4 10 100000
33 9 78254
15 7 70828
8 33 73573
16 42 140711
12 40 122938
11 40 48074
29 23 107956
16 37 212792
34 33 86791
28 34 80585
30 20 142748
17 16 125038
41 9 56223
9 7 36405
6 35 106817
8 26 47631
12 15 90859
7 28 80796
23 21 152542
15 31 80565
28 40 99881
14 3 60998
3 23 101732
26 7 48589
32 2 31583
35 22 62887
30 1 77292
21 36 118219
19 3 92307
34 10 98264
41 36 72554
31 22 111484
35 8 120131
5 39 81330
31 29 109324
41 39 101027
5 8 14771
7 14 66497
30 12 123479
36 26 55286
31 17 98396
20 3 119935
34 5 27989
7 39 81209
24 5 82233
6 2 21075
37 38 228727
18 20 112477
21 30 130926
32 23 58340
36 11 74413
12 42 124363
8 20 101370
12 33 59893
33 38 137215
18 1 104520
34 9 8537
30 24 116832
14 11 60652
1 16 93705
9 30 56695
10 20 114736
13 4 62676
7 2 75610
11 29 80225
41 7 22090
15 2 61641
21 14 104458
16 15 107207
27 29 83837
39 30 118573
40 27 106384
3 39 75575
42 3 98698
18 34 134212
32 41 69079
34 38 145908
9 32 31282
28 22 101743
11 24 94317
37 5 147473
34 11 59117
14 27 65609
16 4 94280
18 30 152650
14 26 43635
8 13 50596
17 4 56765
37 24 192494
1 32 30863
7 19 97941
21 4 122644
2 1 62446
22 5 72807
12 13 31505
14 28 41821
4 9 21496
33 1 101495
23 31 108847
38 4 146880
4 37 118512
30 25 101083
12 11 118496
42 21 156127
20 21 168682
21 15 122623
23 17 97234
38 23 176778
2 4 48714
4 34 30033
28 12 117816
31 8 45456
31 12 117750
27 5 76384
31 32 50507
33 7 79942
16 22 138126
9 38 137371
14 8 3996
10 1 113732
27 3 40495
27 7 37133
33 41 57852
5 23 58859
36 31 63213
35 40 152545
13 25 15039
30 7 93100
36 2 44289
5 36 24536
29 21 72989
32 35 115080
24 18 151212
15 4 12927
14 4 18186
33 5 58802
9 6 20774
11 42 113657
22 11 122684
33 13 28388
15 22 91035
25 14 55709
27 41 56951
9 19 78610
11 41 106803
5 38 117919
38 40 186754
26 35 98227
23 33 117661
1 4 13732
30 3 87466
39 13 130491
42 15 33504
15 20 92115
1 13 76408
16 31 26642
17 34 26732
23 11 109868
18 28 65455
41 5 75675
3 8 64994
24 10 140017
38 16 204788
12 8 82101
11 26 104287
12 38 197108
22 34 100796
2 13 67437
37 18 155787
7 21 114823
22 39 154137
33 31 57857
25 6 65162
33 22 131609
28 31 91273
29 24 106840
2 28 72349
3 9 30771
13 6 56053
37 23 180431
32 17 64306
20 33 133801
10 25 92122
15 38 159807
24 36 57697
1 14 31918
26 18 106152
35 13 101192
40 33 119821
42 19 146537
23 7 98370
38 8 132690
5 2 19753
6 29 50419
10 39 151605
31 41 77442
5 30 37243
25 34 86259
42 27 130226
26 20 108378
12 3 86421
26 1 73443
20 27 134094
26 15 56389
2 22 92560
21 39 77278
37 27 189108
36 35 102374
1 5 42693
8 41 74130
33 24 111924
24 25 124241
10 6 93377
1 42 60163
25 26 12074
2 18 137804
42 31 114069
5 31 60227
37 32 135643
29 33 107870
23 15 88398
18 22 137553
41 34 47686
37 34 126379
13 3 54916
25 38 180642
14 32 1055
10 22 21892
16 27 141703
22 41 123374
11 25 116361
28 17 79660
19 41 117759
24 40 129518
20 22 136628
24 2 72875
13 21 63269
34 35 77506
20 11 156818
2 21 73930
15 5 41888
16 33 84499
35 29 98614
25 12 46544
14 19 108837
40 7 102907
12 17 81923
29 1 53353
22 42 124539
32 3 62053
13 16 112887
27 11 58310
5 4 28961
38 17 172640
15 33 87742
26 21 66234
23 6 60181
11 16 136746
12 10 114518
33 27 114803
18 6 116729
3 35 55272
29 5 49097
16 19 179926
22 8 66028
1 39 85586
14 42 64617
25 20 120452
12 32 77050
14 24 71458
19 30 135305
38 19 172421
6 19 99384
28 8 45817
16 9 106321
31 25 101284
10 15 112927
34 24 98736
42 13 92858
26 24 112167
38 21 172096
6 31 58905
4 18 104179
7 37 154247
40 4 45006
42 35 153970
24 12 96193
18 35 74666
19 4 100106
29 26 95293
42 39 129805
23 40 117455
9 8 34223
18 33 137505
7 11 86985
27 19 132802
26 12 34470
21 34 94097
26 32 42580
18 31 156728
18 9 125675
40 17 101771
24 13 109202
36 3 56098
12 16 144392
39 40 128380
33 3 83304
25 15 68463
35 37 203885
22 9 92259
36 27 79370
33 2 39049
5 35 105495
16 14 76094
11 30 87120
2 17 74474
15 13 59354
41 40 107322
6 34 29311
30 32 46429
23 14 59395
40 1 58738
6 21 95005
9 35 86043
15 30 76487
6 33 60124
19 33 95427
23 13 103885
40 22 120092
42 8 68613
39 26 127526
33 30 96045
23 9 78311
3 26 51951
34 7 27868
35 24 99022
19 2 80698
7 8 70493
2 11 70762
21 25 78308
20 32 96319
18 19 168884
6 11 51199
36 9 43988
3 40 97273
35 23 138365
21 5 93683
38 42 193311
39 20 151042
4 24 87534
37 11 178665
35 30 142738
36 1 43569
10 23 141209
32 33 70632
34 39 53341
28 5 52596
12 7 83059
41 17 20954
42 20 125619
38 1 160612
38 11 168928
14 36 13761
17 9 35269
1 21 126342
31 39 141557
12 19 155320
26 13 2965
25 23 112994
19 11 122359
21 18 108338
18 14 107276
3 24 76502
23 39 140189
18 32 106221
1 37 132244
32 29 60927
30 13 91974
18 29 155320
28 29 101693
15 11 80153
25 36 67360
4 8 22182
10 18 115661
38 24 171041
5 40 68835
12 1 107913
23 18 139149
38 41 193594
29 14 59872
36 15 42764
39 16 168199
39 12 161996
20 1 65456
5 11 51009
26 42 89893
6 26 53088
16 18 154312
6 36 23214
1 15 26659
6 40 67513
3 38 168142
27 9 71266
42 2 95145
40 42 65583
32 22 60977
31 35 149170
37 3 148613
38 14 128694
24 7 73140
29 3 43342
8 39 96101
40 29 96147
17 24 72004
9 26 73862
3 1 54479
10 26 80048
18 17 125440
37 13 164939
18 12 140622
20 23 64624
22 26 101940
11 3 81351
31 1 81370
23 26 100920
24 15 100461
6 22 71485
5 14 10775
30 31 94826
28 38 170515
18 38 235970
41 15 75243
9 39 61878
25 7 60663
17 21 113687
29 10 119372
17 42 103196
32 25 54654
29 36 73633
14 12 78105
21 9 102634
10 33 111401
19 8 112833
22 19 170869
36 16 89855
7 10 81664
17 22 102420
13 5 57375
31 24 120910
4 41 62316
23 36 45634
22 12 136410
21 33 34881
28 20 137085
32 28 40766
29 41 68794
38 35 223414
16 3 129536
30 27 110983
22 7 103556
16 10 160018
25 1 85517
12 6 87558
9 20 100684
36 10 95575
34 2 47742
28 15 70824
30 28 87195
12 21 94774
25 4 71785
31 19 153284
38 20 226068
30 26 89009
40 16 134154
8 23 63391
18 27 137681
27 24 36007
17 25 59527
13 22 104905
39 15 96301
4 6 27639
17 11 85849
1 41 48584
17 33 78806
3 2 69976
5 20 108149
19 37 56306
13 17 50418
31 13 86245
42 37 139089
20 34 97701
17 37 153111
6 8 13449
30 34 65232
2 20 127902
37 31 186150
29 15 64068
30 17 91964
35 15 120466
23 27 125004
19 34 70073
11 21 61813
36 40 71821
12 4 94181
26 34 74185
17 5 54721
27 21 120123
2 12 98942
4 26 59711
13 10 83013
21 32 105513
35 7 51910
3 15 65194
20 13 105413
27 12 60186
4 7 57901
20 37 197700
14 30 45374
34 27 62729
25 33 43427
4 42 46431
23 2 78612
36 17 51600
7 17 1136
36 13 58251
13 7 51554
42 33 121246
34 14 38764
32 40 59115
37 6 146151
29 13 98258
4 23 75471
37 10 218512
35 28 130434
3 34 22234
25 19 138854
4 20 79188
27 15 96722
9 1 35228
10 38 207270
38 27 194303
23 34 86848
16 23 135489
Case #36: 132
19 14 195953
6 4 64237
21 6 71915
2 14 147085
5 12 114163
16 21 253816
8 22 136003
1 7 20628
15 1 121191
21 22 260077
21 20 300920
13 9 167001
22 10 358559
8 11 58850
13 12 132284
10 11 533678
17 9 53226
10 21 611752
15 5 148242
11 19 179255
15 7 141819
2 23 34643
8 3 48830
10 9 446712
4 21 136152
15 6 215338
14 13 194699
11 17 64226
4 2 33575
8 14 168894
16 11 178492
20 3 204799
17 15 167412
21 11 142530
23 8 9867
5 18 89723
7 14 229639
17 3 54206
14 4 157959
4 9 39051
13 11 178001
19 9 168255
7 18 132180
12 15 34079
6 19 193441
22 14 129945
12 21 261239
13 5 152380
6 2 97812
23 19 130272
20 1 81990
4 5 249413
21 15 286110
12 10 350513
6 13 192187
14 18 146339
17 2 49886
11 23 48983
12 11 183165
18 22 32486
4 23 1068
21 2 105489
10 4 485763
17 21 130593
21 3 132510
4 12 135250
1 14 209011
13 21 264102
20 22 166129
10 2 519338
3 14 120064
9 8 47850
4 7 109598
17 5 255561
12 1 87112
6 17 58678
16 19 238567
9 22 88153
22 3 165099
3 11 10020
4 11 47915
19 10 481543
12 20 169102
13 22 129311
19 22 130565
2 22 160779
3 16 168472
16 10 466561
22 15 26033
14 6 222196
17 7 104039
3 2 27021
13 8 138885
19 20 38072
20 7 102618
10 20 519615
20 6 229005
16 14 237947
23 1 116744
12 19 131030
12 8 136022
13 20 36818
15 20 192162
9 14 197010
18 17 165838
12 14 121899
2 12 168825
11 22 175119
11 5 297328
16 2 164152
10 1 437625
15 23 152169
20 11 214819
1 21 232094
15 14 155978
2 15 186812
16 9 167492
13 19 1254
3 15 191132
8 17 5376
6 23 63169
18 23 158622
4 8 10935
18 8 160462
22 4 127204
1 2 151387
6 5 303487
10 14 472412
1 16 203160
10 17 491911
17 13 144261
13 16 237313
Case #37: Impossible
Case #38: 17
23 12 123252
25 9 579858
23 1 934196
3 16 797752
14 1 520800
26 7 828329
7 3 921389
8 15 465687
9 7 321503
16 19 841574
18 21 892480
16 24 961545
13 5 584021
13 19 11605
17 14 386539
23 7 854690
5 23 457728
Case #39: 820
20 2 162690
35 6 162331
40 20 124977
39 26 146300
39 20 130165
30 1 1848
31 29 85003
11 26 156678
41 35 138869
5 34 81558
33 11 91419
15 2 40647
1 21 212744
35 2 139700
2 29 78914
23 28 159108
30 20 107443
16 39 130969
1 4 111595
3 8 117399
31 5 42111
2 11 117828
3 13 166640
40 9 48867
15 28 131099
24 33 105807
41 38 107928
9 33 59334
2 28 171746
28 38 136750
23 7 79899
41 9 115575
41 15 99850
25 23 122333
13 2 154968
35 39 137725
15 10 93344
11 41 39120
12 7 99750
1 24 79654
11 20 72329
26 38 207178
4 35 32068
14 40 42991
39 10 101466
1 18 71455
38 23 118618
24 31 106661
39 23 36131
20 25 210652
36 28 199850
38 17 126112
25 8 115155
9 16 124200
39 4 105657
33 14 53458
37 19 44705
23 33 10896
1 27 22183
32 13 191830
40 2 69085
34 10 147595
3 29 171012
21 36 228351
26 23 112237
10 23 65335
10 19 80624
31 8 31390
26 18 163455
13 30 99721
34 31 118965
18 22 87561
23 6 46025
38 31 137132
13 11 163139
19 33 121972
31 13 74562
13 16 211664
11 8 69649
20 19 99051
38 30 111973
35 24 155906
23 15 28009
13 5 116673
23 19 111076
19 27 113144
34 35 188874
26 14 138016
21 13 208073
6 3 143784
37 1 51114
6 28 149115
14 36 83304
30 14 29153
11 12 100374
14 22 43411
18 40 87141
39 31 47881
9 14 30278
34 6 97222
31 20 132602
2 41 140497
33 13 127722
38 33 128656
25 35 78547
38 34 176579
32 34 156715
8 10 88671
28 11 209117
21 11 200584
22 26 171740
6 14 32569
22 25 123182
15 37 63866
15 14 14553
1 16 110095
37 18 48620
15 1 12752
39 32 111135
37 29 108680
33 21 207525
37 26 142526
19 13 183129
28 17 159838
29 10 133363
27 12 31787
31 30 25159
17 21 220163
38 10 129851
15 29 45244
9 1 33181
26 5 140530
10 6 111360
3 19 199641
37 2 104513
3 41 208208
13 1 101569
